code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-26 00:00:00,4.818,4.84,4.876,4.768,0.0,0.1388,2528676242.0,12258222144.0,1.7661900756938527,4.756
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-27 00:00:00,4.88,4.802,4.898,4.78,0.0,0.15652,2739754178.0,13227925132.0,-0.785123966942154,4.84
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-28 00:00:00,4.79,4.782,4.806,4.712,0.0,0.11853,2016214041.0,9601849901.0,-0.41649312786338144,4.802
HK.03033,CSOP Hang Seng TECH Index ETF,2026-05-29 00:00:00,4.824,4.784,4.872,4.762,0.0,0.15454,2595316806.0,12474019152.0,0.041823504809698445,4.782
HK.03033,CSOP Hang Seng TECH Index ETF,2026-06-01 00:00:00,4.786,4.866,4.906,4.786,0.0,0.15166,2524751599.0,12268094397.0,1.7140468227424717,4.784
HK.03033,CSOP Hang Seng TECH Index ETF,2026-06-02 00:00:00,4.866,5.095,5.095,4.866,0.0,0.10842,1796067506.0,9023401647.0,4.706124126592686,4.866
HK.03033,CSOP Hang Seng TECH Index ETF,2026-06-03 00:00:00,5.065,4.95,5.065,4.938,0.0,0.1968,3234607740.0,16046751147.0,-2.845927379784094,5.095
HK.03033,CSOP Hang Seng TECH Index ETF,2026-06-04 00:00:00,4.892,4.87,4.91,4.856,0.0,0.17571,2906881053.0,14181790113.0,-1.6161616161616175,4.95
HK.03033,CSOP Hang Seng TECH Index ETF,2026-06-05 00:00:00,4.858,4.786,4.866,4.77,0.0,0.18997,3161952218.0,15193863971.0,-1.7248459958932343,4.87
HK.03033,CSOP Hang Seng TECH Index ETF,2026-06-08 00:00:00,4.7,4.664,4.722,4.614,0.0,0.30469,5081682902.0,23668513511.0,-2.5491015461763458,4.786
HK.03033,CSOP Hang Seng TECH Index ETF,2026-06-09 00:00:00,4.636,4.676,4.728,4.636,0.0,0.21209,3523793477.0,16525402799.0,0.2572898799313991,4.664
HK.03033,CSOP Hang Seng TECH Index ETF,2026-06-10 00:00:00,4.65,4.634,4.672,4.568,0.0,0.20127,3339293223.0,15393401874.0,-0.8982035928143672,4.676
HK.03033,CSOP Hang Seng TECH Index ETF,2026-06-11 00:00:00,4.628,4.56,4.64,4.502,0.0,0.16524,2682555229.0,12175884996.0,-1.5968925334484403,4.634
HK.03033,CSOP Hang Seng TECH Index ETF,2026-06-12 00:00:00,4.618,4.61,4.654,4.586,0.0,0.22225,3591732274.0,16600525169.0,1.096491228070191,4.56
