asset_code,date,nav,daily_return,subscription_status_raw,redemption_status_raw,source_url
018043,2026-01-19,1.8319,-0.04%,暂停申购,暂停赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-16,1.8326,-0.04%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-15,1.8334,0.22%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-14,1.8293,-1.00%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-13,1.8477,-0.17%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-12,1.8509,0.05%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-09,1.8500,0.87%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=5&per=20
018043,2026-01-08,1.8340,-0.53%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2026-01-07,1.8438,0.07%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2026-01-06,1.8426,0.82%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2026-01-05,1.8277,0.49%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-31,1.8188,-0.87%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-30,1.8347,-0.21%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-29,1.8386,-0.48%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-26,1.8475,-0.09%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-25,1.8491,-0.10%,暂停申购,暂停赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-24,1.8510,0.19%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-23,1.8475,0.40%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
018043,2025-12-22,1.8401,0.46%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=6&per=20
